symbol,date,price
Selena,Jan 2000,39.81
Selena,Feb 2000,36.35
Selena,Mar 2000,43.22
Selena,Apr 2000,28.37
Selena,May 2000,25.45
Selena,Jun 2000,32.54
Selena,Jul 2000,28.4
Selena,Aug 2000,28.4
Selena,Sep 2000,24.53
Selena,Oct 2000,28.02
Selena,Nov 2000,23.34
Selena,Dec 2000,17.65
Selena,Jan 2001,24.84
Selena,Feb 2001,24
Selena,Mar 2001,22.25
Selena,Apr 2001,27.56
Selena,May 2001,28.14
Selena,Jun 2001,29.7
Selena,Jul 2001,26.93
Selena,Aug 2001,23.21
Selena,Sep 2001,20.82
Selena,Oct 2001,23.65
Selena,Nov 2001,26.12
Selena,Dec 2001,26.95
Selena,Jan 2002,25.92
Selena,Feb 2002,23.73
Selena,Mar 2002,24.53
Selena,Apr 2002,21.26
Selena,May 2002,20.71
Selena,Jun 2002,22.25
Selena,Jul 2002,19.52
Selena,Aug 2002,19.97
Selena,Sep 2002,17.79
Selena,Oct 2002,21.75
Selena,Nov 2002,23.46
Selena,Dec 2002,21.03
Selena,Jan 2003,19.31
Selena,Feb 2003,19.34
Selena,Mar 2003,19.76
Selena,Apr 2003,20.87
Selena,May 2003,20.09
Selena,Jun 2003,20.93
Selena,Jul 2003,21.56
Selena,Aug 2003,21.65
Selena,Sep 2003,22.69
Selena,Oct 2003,21.45
Selena,Nov 2003,21.1
Selena,Dec 2003,22.46
Selena,Jan 2004,22.69
Selena,Feb 2004,21.77
Selena,Mar 2004,20.46
Selena,Apr 2004,21.45
Selena,May 2004,21.53
Selena,Jun 2004,23.44
Selena,Jul 2004,23.38
Selena,Aug 2004,22.47
Selena,Sep 2004,22.76
Selena,Oct 2004,23.02
Selena,Nov 2004,24.6
Selena,Dec 2004,24.52
Selena,Jan 2005,24.11
Selena,Feb 2005,23.15
Selena,Mar 2005,22.24
Selena,Apr 2005,23.28
Selena,May 2005,23.82
Selena,Jun 2005,22.93
Selena,Jul 2005,23.64
Selena,Aug 2005,25.35
Selena,Sep 2005,23.83
Selena,Oct 2005,23.8
Selena,Nov 2005,25.71
Selena,Dec 2005,24.29
Selena,Jan 2006,26.14
Selena,Feb 2006,25.04
Selena,Mar 2006,25.36
Selena,Apr 2006,22.5
Selena,May 2006,21.19
Selena,Jun 2006,21.8
Selena,Jul 2006,22.51
Selena,Aug 2006,24.13
Selena,Sep 2006,25.68
Selena,Oct 2006,26.96
Selena,Nov 2006,27.66
Selena,Dec 2006,28.13
Selena,Jan 2007,29.07
Selena,Feb 2007,26.63
Selena,Mar 2007,26.35
Selena,Apr 2007,28.3
Selena,May 2007,29.11
Selena,Jun 2007,27.95
Selena,Jul 2007,27.5
Selena,Aug 2007,27.34
Selena,Sep 2007,28.04
Selena,Oct 2007,35.03
Selena,Nov 2007,32.09
Selena,Dec 2007,34
Selena,Jan 2008,31.13
Selena,Feb 2008,26.07
Selena,Mar 2008,27.21
Selena,Apr 2008,27.34
Selena,May 2008,27.25
Selena,Jun 2008,26.47
Selena,Jul 2008,24.75
Selena,Aug 2008,26.36
Selena,Sep 2008,25.78
Selena,Oct 2008,21.57
Selena,Nov 2008,19.66
Selena,Dec 2008,18.91
Selena,Jan 2009,16.63
Selena,Feb 2009,15.81
Selena,Mar 2009,17.99
Selena,Apr 2009,19.84
Selena,May 2009,20.59
Selena,Jun 2009,23.42
Selena,Jul 2009,23.18
Selena,Aug 2009,24.43
Selena,Sep 2009,25.49
Selena,Oct 2009,27.48
Selena,Nov 2009,29.27
Selena,Dec 2009,30.34
Selena,Jan 2010,28.05
Selena,Feb 2010,28.67
Selena,Mar 2010,28.8
Tony,Jan 2000,64.56
Tony,Feb 2000,68.87
Tony,Mar 2000,67
Tony,Apr 2000,55.19
Tony,May 2000,48.31
Tony,Jun 2000,36.31
Tony,Jul 2000,30.12
Tony,Aug 2000,41.5
Tony,Sep 2000,38.44
Tony,Oct 2000,36.62
Tony,Nov 2000,24.69
Tony,Dec 2000,15.56
Tony,Jan 2001,17.31
Tony,Feb 2001,10.19
Tony,Mar 2001,10.23
Tony,Apr 2001,15.78
Tony,May 2001,16.69
Tony,Jun 2001,14.15
Tony,Jul 2001,12.49
Tony,Aug 2001,8.94
Tony,Sep 2001,5.97
Tony,Oct 2001,6.98
Tony,Nov 2001,11.32
Tony,Dec 2001,10.82
Tony,Jan 2002,14.19
Tony,Feb 2002,14.1
Tony,Mar 2002,14.3
Tony,Apr 2002,16.69
Tony,May 2002,18.23
Tony,Jun 2002,16.25
Tony,Jul 2002,14.45
Tony,Aug 2002,14.94
Tony,Sep 2002,15.93
Tony,Oct 2002,19.36
Tony,Nov 2002,23.35
Tony,Dec 2002,18.89
Tony,Jan 2003,21.85
Tony,Feb 2003,22.01
Tony,Mar 2003,26.03
Tony,Apr 2003,28.69
Tony,May 2003,35.89
Tony,Jun 2003,36.32
Tony,Jul 2003,41.64
Tony,Aug 2003,46.32
Tony,Sep 2003,48.43
Tony,Oct 2003,54.43
Tony,Nov 2003,53.97
Tony,Dec 2003,52.62
Tony,Jan 2004,50.4
Tony,Feb 2004,43.01
Tony,Mar 2004,43.28
Tony,Apr 2004,43.6
Tony,May 2004,48.5
Tony,Jun 2004,54.4
Tony,Jul 2004,38.92
Tony,Aug 2004,38.14
Tony,Sep 2004,40.86
Tony,Oct 2004,34.13
Tony,Nov 2004,39.68
Tony,Dec 2004,44.29
Tony,Jan 2005,43.22
Tony,Feb 2005,35.18
Tony,Mar 2005,34.27
Tony,Apr 2005,32.36
Tony,May 2005,35.51
Tony,Jun 2005,33.09
Tony,Jul 2005,45.15
Tony,Aug 2005,42.7
Tony,Sep 2005,45.3
Tony,Oct 2005,39.86
Tony,Nov 2005,48.46
Tony,Dec 2005,47.15
Tony,Jan 2006,44.82
Tony,Feb 2006,37.44
Tony,Mar 2006,36.53
Tony,Apr 2006,35.21
Tony,May 2006,34.61
Tony,Jun 2006,38.68
Tony,Jul 2006,26.89
