symbol,date,price
Marry,Jan 00,47.37947881
Marry,Feb 00,37.96622164
Marry,Mar 00,18.99943289
Marry,Apr 00,57.58625457
Marry,May 00,24.61996362
Marry,Jun 00,10.36194545
Marry,Jul 00,59.67453082
Marry,Aug 00,15.70943476
Marry,Sep 00,42.32758685
Marry,Oct 00,58.97253892
Marry,Nov 00,34.36674346
Marry,Dec 00,32.40328977
Marry,Jan 01,51.75844069
Marry,Feb 01,35.56989392
Marry,Mar 01,1.81425934
Marry,Apr 01,24.417078
Marry,May 01,2.273944789
Marry,Jun 01,44.50629229
Marry,Jul 01,22.4092115
Marry,Aug 01,6.055659857
Marry,Sep 01,29.61311223
Marry,Oct 01,23.31814134
Marry,Nov 01,15.45557754
Marry,Dec 01,39.57525553
Marry,Jan 02,17.62203646
Marry,Feb 02,7.185453837
Marry,Mar 02,29.22125644
Marry,Apr 02,9.21757435
Marry,May 02,40.28896435
Marry,Jun 02,25.87776914
Marry,Jul 02,55.46410578
Marry,Aug 02,50.89995788
Marry,Sep 02,33.55575789
Marry,Oct 02,52.735808
Marry,Nov 02,48.26942566
Marry,Dec 02,1.444773679
Marry,Jan 03,22.12795818
Marry,Feb 03,7.117523385
Marry,Mar 03,29.02938723
Marry,Apr 03,54.94199738
Marry,May 03,25.53552919
Marry,Jun 03,3.275990802
Marry,Jul 03,0.23231247
Marry,Aug 03,41.79714458
Marry,Sep 03,13.83484081
Marry,Oct 03,31.43487009
Marry,Nov 03,32.92457391
Marry,Dec 03,52.07337073
Marry,Jan 04,27.66708851
Marry,Feb 04,11.27093571
Marry,Mar 04,16.16155362
Marry,Apr 04,20.0984091
Marry,May 04,46.48303405
Marry,Jun 04,56.39694412
Marry,Jul 04,1.257380901
Marry,Aug 04,6.314912928
Marry,Sep 04,10.82153821
Marry,Oct 04,37.64177627
Marry,Nov 04,49.26753118
Marry,Dec 04,42.17895947
Marry,Jan 05,42.06466794
Marry,Feb 05,34.88931695
Marry,Mar 05,53.10665576
Marry,Apr 05,9.419874138
Marry,May 05,45.41234283
Marry,Jun 05,7.76771292
Marry,Jul 05,22.78126986
Marry,Aug 05,49.50097464
Marry,Sep 05,43.50689083
Marry,Oct 05,23.91261687
Marry,Nov 05,23.73113285
Marry,Dec 05,33.16862683
Marry,Jan 06,50.47966494
Marry,Feb 06,17.43552333
Marry,Mar 06,49.4336033
Marry,Apr 06,13.97188833
Marry,May 06,49.76496087
Marry,Jun 06,18.20362945
Marry,Jul 06,52.54171808
Marry,Aug 06,39.63078175
Marry,Sep 06,14.30807824
Marry,Oct 06,13.06945242
Marry,Nov 06,36.23260308
Marry,Dec 06,16.61995221
Marry,Jan 07,31.78083802
Marry,Feb 07,7.268697826
Marry,Mar 07,54.80158414
Marry,Apr 07,35.24206568
Marry,May 07,1.756050504
Marry,Jun 07,59.9197333
Marry,Jul 07,26.55428898
Marry,Aug 07,45.99066124
Marry,Sep 07,24.46804223
Marry,Oct 07,52.39058784
Marry,Nov 07,37.11050607
Marry,Dec 07,5.189308259
Marry,Jan 08,12.16120612
Marry,Feb 08,50.97776264
Marry,Mar 08,18.00595338
Marry,Apr 08,48.17288741
Marry,May 08,19.80995609
Marry,Jun 08,10.36078484
Marry,Jul 08,4.974190329
Marry,Aug 08,18.38669568
Marry,Sep 08,25.24989337
Marry,Oct 08,20.35760489
Marry,Nov 08,37.89649981
Marry,Dec 08,27.55577003
Marry,Jan 09,32.99204672
Marry,Feb 09,11.15785529
Marry,Mar 09,53.34074407
Marry,Apr 09,36.50408323
Marry,May 09,6.052651673
Marry,Jun 09,50.19402316
Marry,Jul 09,39.90172435
Marry,Aug 09,58.14012004
Marry,Sep 09,4.263665548
Marry,Oct 09,34.11784804
Marry,Nov 09,48.39253368
Marry,Dec 09,27.65361234
Marry,Jan 10,42.36372564
Marry,Feb 10,36.37119577
Marry,Mar 10,52.73468497
Tony,Jan 00,9.716644568
Tony,Feb 00,0.284437531
Tony,Mar 00,4.699070795
Tony,Apr 00,42.22869059
Tony,May 00,39.51378623
Tony,Jun 00,9.921551094
Tony,Jul 00,12.19498718
Tony,Aug 00,40.72757561
Tony,Sep 00,44.97261122
Tony,Oct 00,37.32148322
Tony,Nov 00,24.11427313
Tony,Dec 00,3.747473353
Tony,Jan 01,38.27778935
Tony,Feb 01,53.62412223
Tony,Mar 01,51.82721983
Tony,Apr 01,35.10741559
Tony,May 01,52.71779701
Tony,Jun 01,25.24636657
Tony,Jul 01,42.02580659
Tony,Aug 01,2.137246246
Tony,Sep 01,22.43371293
Tony,Oct 01,16.66033061
Tony,Nov 01,54.91088047
Tony,Dec 01,53.46543881
Tony,Jan 02,56.6480688
Tony,Feb 02,29.83439921
Tony,Mar 02,30.50130889
Tony,Apr 02,23.59068576
Tony,May 02,56.1548301
Tony,Jun 02,53.80317824
Tony,Jul 02,6.464866636
Tony,Aug 02,51.1268759
Tony,Sep 02,51.78602623
Tony,Oct 02,42.15549005
Tony,Nov 02,22.18107848
Tony,Dec 02,37.82789102
Tony,Jan 03,52.32075746
Tony,Feb 03,24.13454096
Tony,Mar 03,47.55597424
Tony,Apr 03,16.58024045
Tony,May 03,2.294107169
Tony,Jun 03,45.38424063
Tony,Jul 03,44.46224479
Tony,Aug 03,57.62255602
Tony,Sep 03,38.92343112
Tony,Oct 03,37.97505865
Tony,Nov 03,59.03434726
Tony,Dec 03,38.42313964
Tony,Jan 04,49.86867922
Tony,Feb 04,14.86233641
Tony,Mar 04,4.651657466
